group,run,tag,x,value
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,19,0.14278972148895264
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,20,0.14161181449890137
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,21,0.14223743975162506
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,22,0.14210203289985657
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,23,0.14173439145088196
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,24,0.14179977774620056
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,25,0.14140963554382324
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,26,0.1414015144109726
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,27,0.14192937314510345
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,28,0.14146888256072998
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,29,0.14083655178546906
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,30,0.13959725201129913
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,31,0.13906873762607574
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,32,0.1388092339038849
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,33,0.13802418112754822
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,34,0.1376287192106247
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,35,0.13644303381443024
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,36,0.1356019377708435
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,37,0.1361980140209198
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,38,0.1357877254486084
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,39,0.13535168766975403
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,40,0.13561788201332092
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,41,0.1351689100265503
trinity|vae,vae_logs_trinity_beta1e-2,val/loss,42,0.13543705642223358
